District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Iowa's 4th,IA-04,Republican,Randy,Feenstra,(RAN-dee FEEN-struh),/'ɹæn.di 'fin.stɹə/,2020,1969,Man,White,Christian - Protestant,No,Re-elected,36.2,62.2,33.2,60.2,30.4,67.3,0,0,,,,,,85.5,7.6,2.4,2.5,1.7,0.5,90.2,5.2,2.0,1.6,0.8,0.1,"$68,755",261,"$70,564",314,25.8 ,329 ,26.8 ,367 ,66.0,38 ,163,"406,128","146,824","252,575","390,493","129,663","235,036","277,008","84,230","186,467",0,0,"6,311",,,,,,,"797,645","658,960","76,598","24,078","20,303","15,623","3,751","613,517","524,277","46,874","14,474","15,041","10,365","2,764","589,335","531,525","30,405","11,885","9,150","4,645",870,"522,717","134,877","458,472","122,897"
Idaho's 1st,ID-01,Republican,Russ,Fulcher,(RUHS FUHL-cher),/ɹʌs 'fʌl.tʃəɹ/,2018,1965,Man,White,Christian - Protestant,No,Re-elected,29.5,67.7,25.0,64.1,26.3,71.3,0,0,,,,,,82.7,9.9,0.9,2.1,3.6,0.4,87.1,8.2,0.7,1.5,2.1,0.1,"$72,898",219,"$74,265",271,28.2 ,282 ,29.5 ,327 ,61.4,57 ,132,"447,457","132,085","302,868","344,546","86,264","220,999","312,442","82,261","222,901",0,0,"7,280",,,,,,,"919,553","735,930","108,783","11,407","21,566","35,261","4,623","692,128","572,254","68,233","6,356","14,311","24,703","2,781","684,935","596,520","56,160","5,115","10,185","14,550",770,"628,189","177,441","532,478","157,287"
Idaho's 2nd,ID-02,Republican,Mike,Simpson,(MAHYK SIMP-suhn),/maɪk 'sɪmp.sən/,1998,1950,Man,White,Christian - Mormon,No,Re-elected,36.9,59.8,29.9,54.4,36.4,63.6,0,0,,,,,,80.3,12.2,1.4,2.6,3.0,0.4,85.6,9.5,0.9,1.8,1.8,0.1,"$72,674",222,"$74,082",275,32.3 ,212 ,34.7 ,255 ,55.9,90 ,133,"419,904","154,936","251,251","345,887","103,501","188,056","271,186","98,736","172,450",0,0,0,,,,,,,"919,553","714,593","130,624","16,238","25,947","30,291","4,670","684,272","549,212","83,467","9,691","18,051","20,822","2,945","660,005","564,815","62,590","6,260","11,625","12,105",830,"584,107","188,782","481,048","167,049"
Illinois' 1st,IL-01,Democratic,Jonathan,Jackson,(JAHN-uh-thun JAK-suhn),/'dʒɑ.nə.θən 'dʒæk.sən/,2022,1956,Man,Black,Christian - Protestant - Baptist,No,Open Seat - Retired (Bobby Rush),70.5,28.1,71.9,24.0,67.0,32.9,0,0,,,,,,37.0,7.9,52.0,2.6,1.4,0.1,38.9,6.3,52.6,1.7,0.5,0.0,"$64,107",318,"$99,417",90,31.7 ,221 ,39.0 ,197 ,23.7,348 ,134,"369,753","260,631","103,984","359,512","258,515","86,153","237,583","159,142","78,258",0,0,183,,,,,,,"753,677","271,776","69,410","390,300","19,761","11,292",736,"589,021","217,813","46,406","306,380","15,438","8,185",528,"563,785","219,290","35,335","296,335","9,620","2,725",35,"516,972","163,665","197,935","77,124"
Illinois' 2nd,IL-02,Democratic,Robin,Kelly,(RAH-buhn KEL-ee),/'ɹɑ.bən 'kɛ.li/,2013 Special,1956,Woman,Black,Christian - Protestant - Nondenominational,No,Re-elected,69.3,29.3,69.1,26.8,67.1,32.9,0,0,,,,,,36.3,13.4,48.4,1.3,1.8,0.1,39.4,10.4,48.5,1.1,0.6,0.0,"$57,780",380,"$67,102",358,23.8 ,364 ,23.7 ,411 ,30.0,303 ,135,"334,668","231,924","98,000","330,104","228,009","88,360","209,175","140,414","68,761",0,0,0,,,,,,,"753,677","251,234","115,115","374,697","10,218","14,600",840,"580,993","210,713","77,611","280,964","7,783","10,704",615,"549,250","216,150","57,055","266,595","5,810","3,245",165,"506,396","120,328","197,402","46,841"
Illinois' 3rd,IL-03,Democratic,Delia,Ramirez,(DEL-ee-ah rah-MEE-des) [First R is trilled],/'dɛl.i.ɑ rɑ.'mi.ɾɛs/,2022,1983,Woman,Hispanic - Guatemalan,Christian - Protestant - Methodist,No,Open Seat - Ran in IL-06 after redistricting and lost in primary (Marie Newman),69.7,28.3,69.1,24.6,68.5,31.5,0,0,,,,,,42.8,43.8,6.0,7.3,3.5,0.2,50.3,35.5,6.6,6.9,0.5,0.0,"$78,452",178,"$93,184",130,35.2 ,168 ,49.2 ,90 ,25.6,335 ,136,"297,395","207,342","84,147","267,054","184,409","65,684","177,759","121,764","55,995",0,0,0,,,,,,,"753,677","294,530","356,863","49,086","55,607","27,342","1,369","588,880","251,848","257,871","35,538","43,017","20,324","1,026","480,110","241,660","170,330","31,830","33,295","2,175",145,"510,596","179,700","236,965","116,614"
Illinois' 4th,IL-04,Democratic,"Jesús ""Chuy""",García,(CHOO-ee gahr-SEE-uh) [R is trilled in Spanish],/'tʃu.i gɑɹ.'si.ə/ [/'tʃu.i gɑr.'si.ə/ in Spanish],2018,1956,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,72.3,25.9,72.4,21.7,68.4,28.1,0,0,,,,,,26.2,63.2,5.8,4.7,4.8,0.1,33.8,55.3,6.3,4.3,0.3,0.0,"$69,123",258,"$76,159",254,23.3 ,374 ,41.5 ,162 ,19.7,361 ,137,"242,543","175,301","62,731","227,807","164,935","49,530","133,047","91,036","37,352",0,0,"4,659",,,,,,,"753,677","176,438","500,949","43,251","34,697","36,994",907,"563,323","147,658","356,197","32,793","26,345","27,272",660,"435,135","146,890","240,660","27,475","18,785","1,355",10,"480,283","112,010","142,024","58,979"
Illinois' 5th,IL-05,Democratic,Mike,Quigley,(MAHYK KWIG-lee),/maɪk 'kwɪg.li/,2009 Special,1959,Man,White,Christian - Protestant,No,Re-elected,68.9,29.3,65.5,27.3,69.6,28.8,0,0,,,,,,73.3,10.7,3.3,11.8,1.2,0.1,77.3,9.8,3.3,9.0,0.4,0.0,"$104,191",45,"$111,877",51,64.4 ,6 ,67.8 ,17 ,24.9,342 ,138,"400,256","275,679","117,237","360,070","235,988","98,390","274,550","190,999","79,112",0,0,"4,439",,,,,,,"753,677","537,619","88,320","26,813","94,572","9,935",956,"618,186","453,104","65,900","20,617","72,694","7,407",730,"558,195","431,390","54,865","18,165","50,050","2,400",130,"550,350","354,447","406,807","275,825"
Illinois' 6th,IL-06,Democratic,Sean,Casten,(SHAWN KAS-tuhn),/ʃɔn 'kæs.tən/,2018,1971,Man,White,Unknown/Refused to Say,No,Multiple: Re-elected (Sean Casten) and Lost in primary (Marie Newman),54.5,43.6,50.7,42.4,54.4,45.6,0,0,,,,,,74.6,11.8,5.9,6.5,1.3,0.1,77.1,11.2,5.8,5.4,0.4,0.0,"$95,298",76,"$96,808",107,43.6 ,85 ,44.8 ,131 ,42.6,208 ,139,"396,914","216,368","173,185","356,452","180,640","151,235","276,859","150,496","126,351",0,0,12,,,,,,,"753,677","543,039","102,698","47,441","52,603","11,028",733,"593,478","442,873","70,055","34,837","38,785","7,954",548,"549,900","423,995","61,445","32,165","29,465","2,420",60,"532,125","231,934","400,953","179,634"
Illinois' 7th,IL-07,Democratic,Danny,Davis,(DAN-ee DEY-vis),/'dæ.ni 'deɪ.vɪs/,1996,1941,Man,Black,Christian - Protestant - Baptist,No,Re-elected,85.6,12.8,85.8,9.8,100,0,0,0,,,,,,32.7,13.8,43.0,10.2,1.5,0.1,36.1,10.9,45.4,7.1,0.4,0.0,"$76,365",186,"$121,945",31,46.1 ,69 ,76.8 ,8 ,8.4,424 ,140,"321,060","274,896","41,082","317,580","272,562","31,019","167,746","167,650",0,0,0,96,,,,,,,"753,677","222,189","118,529","340,341","73,832","12,023","1,009","607,675","198,783","84,153","261,207","62,079","8,953",752,"539,965","194,835","58,810","245,005","38,495","2,210",170,"521,237","240,426","182,561","140,241"
Illinois' 8th,IL-08,Democratic,Raja,Krishnamoorthi,(RAH-zhah krish-nuh-MAWR-thee),/'ɹɑ.ʒɑ ˌkɹɪʃ.nə.'mɔɹ.θi/,2016,1973,Man,Asian - Indian,Hindu,No,Re-elected,56.8,41.4,54.6,38.9,56.9,43.1,0,0,,,,,,58.4,20.7,4.8,15.2,2.1,0.1,65.3,16.3,5.2,12.6,0.4,0.1,"$91,317",93,"$94,096",122,39.2 ,126 ,40.6 ,173 ,38.7,248 ,141,"333,628","189,430","138,017","290,368","158,507","113,058","207,215","117,880","89,335",0,0,0,,,,,,,"753,677","410,205","179,147","41,348","117,924","17,357","1,050","586,513","342,671","121,507","27,923","88,874","12,304",759,"500,080","326,325","81,350","26,140","62,925","1,875",255,"520,769","203,967","312,443","126,940"
Illinois' 9th,IL-09,Democratic,Jan,Schakowsky,(JAN shuh-KOU-skee),/dʒæn ʃə.'kaʊ.ski/,1998,1944,Woman,White,Jewish,No,Re-elected,69.9,28.4,68.2,25.8,71.7,28.3,0,0,,,,,,61.6,11.7,9.7,16.0,1.5,0.1,68.2,9.8,8.8,12.3,0.5,0.1,"$86,692",118,"$98,140",96,54.9 ,20 ,60.5 ,31 ,26.9,328 ,142,"382,482","267,524","108,596","342,357","233,480","88,297","250,530","179,615","70,915",0,0,0,,,,,,,"753,677","446,387","98,038","76,904","125,905","12,479","1,154","607,511","374,121","70,826","58,940","97,378","9,307",877,"530,230","361,530","52,175","46,695","65,425","2,445",320,"532,302","292,143","338,128","204,618"
Illinois' 10th,IL-10,Democratic,Brad,Schneider,(BRAD SHNAHY-der),/bɹæd 'ʃnaɪ.ɾəɹ/,2016,1961,Man,White,Jewish,No,Re-elected,62.0,36.1,57.7,34.9,63.0,37.0,0,0,,,,,,61.6,21.2,7.1,8.7,2.2,0.2,70.0,15.3,7.3,6.7,0.5,0.0,"$98,057",66,"$110,852",52,46.5 ,64 ,54.1 ,57 ,32.1,293 ,143,"355,522","220,357","128,416","322,655","186,067","112,732","242,165","152,566","89,599",0,0,0,,,,,,,"753,677","436,320","180,649","58,457","70,016","17,967","1,379","575,610","354,504","122,070","41,054","50,164","12,712",979,"514,735","360,135","78,650","37,410","34,735","2,760",85,"501,851","233,582","326,489","176,610"
Illinois' 11th,IL-11,Democratic,Bill,Foster,(BIL FAWS-ter),/bɪl 'fɔs.ɾəɹ/,"2012, 2008 Special-2010",1955,Man,White,Unknown/Refused to Say,No,Re-elected,56.6,41.3,51.7,41.1,56.4,43.5,0,0,,,,,,66.6,16.4,6.6,9.0,1.8,0.1,73.5,12.9,6.5,6.6,0.4,0.0,"$99,802",60,"$105,040",69,44.2 ,79 ,47.2 ,113 ,38.8,247 ,144,"380,478","215,328","157,129","332,333","171,819","136,492","264,273","149,172","115,069",0,0,32,,,,,,,"753,677","474,649","142,376","54,717","72,264","14,862",912,"574,787","382,643","94,482","37,948","51,448","10,326",612,"522,070","383,520","67,385","33,945","34,645","2,125",45,"507,419","224,477","349,911","165,031"
Illinois' 12th,IL-12,Republican,Mike,Bost,(MAHYK BAWST),/maɪk bɔst/,2014,1960,Man,White,Christian - Protestant - Baptist,No,Re-elected,27.7,70.5,26.0,68.5,25.0,75.0,0,0,,,,,,88.0,2.4,5.6,1.4,2.0,0.1,90.4,2.0,5.5,0.8,1.1,0.0,"$62,253",337,"$62,923",393,23.8 ,363 ,23.8 ,408 ,68.9,23 ,145,"383,257","106,204","270,198","366,997","95,310","251,552","291,252","72,791","218,379",0,0,82,,,,,,,"753,677","654,662","21,152","46,547","11,612","16,196","1,069","589,350","518,915","13,972","32,744","8,335","12,005",680,"581,980","526,270","11,665","32,245","4,615","6,215",105,"525,602","125,122","473,623","112,754"
Illinois' 13th,IL-13,Democratic,Nikki,Budzinski,(NIK-ee buhd-ZIN-skee),/'nɪ.ki bəd.'zɪn.ski/,2022,1977,Woman,White,Unknown/Refused to Say,No,Open Seat - Ran in IL-15 after redistricting and lost in primary (Rodney Davis),54.4,43.2,50.6,42.3,56.5,43.3,0,0,,,,,,67.8,4.3,20.3,5.4,2.1,0.1,73.9,3.1,19.5,2.7,0.8,0.0,"$59,843",367,"$67,087",360,30.8 ,241 ,32.5 ,285 ,49.9,143 ,146,"358,904","195,393","155,142","348,727","176,530","147,579","250,763","141,788","108,646",0,0,329,,,,,,,"753,677","486,087","37,204","175,650","38,751","16,186","1,166","595,719","403,862","25,560","120,909","32,027","12,223",768,"573,840","424,225","17,615","111,695","15,405","4,495",185,"497,764","153,440","363,506","118,060"
Illinois' 14th,IL-14,Democratic,Lauren,Underwood,(LAWR-uhn UHN-der-wood),/'lɔ.ɹən 'ʌn.dɜɹ.wʊd/,2018,1986,Woman,Black,Christian - Protestant,No,Re-elected,54.7,43.3,50.7,42.1,54.1,45.8,0,0,,,,,,62.7,20.1,10.2,5.7,2.2,0.1,68.0,16.2,10.5,4.7,0.4,0.0,"$86,174",122,"$89,074",166,32.3 ,213 ,35.2 ,244 ,44.1,191 ,147,"348,998","191,028","151,016","310,095","157,151","130,645","236,794","128,141","108,451",0,0,202,,,,,,,"753,677","443,276","172,070","83,511","46,311","17,724",804,"564,317","353,681","113,236","57,426","31,975","12,358",543,"526,235","358,010","85,250","55,105","24,645","2,315",40,"488,472","157,844","317,850","111,795"
Illinois' 15th,IL-15,Republican,Mary,Miller,(MAIR-ee MIL-er),/'mɛ.ɹi 'mɪ.ləɹ/,2020,1959,Woman,White,Christian - Protestant,No,Multiple: Re-elected (Mary Miller) and Lost in primary (Rodney Davis),29.6,68.3,27.7,66.0,28.9,71.1,0,0,,,,,,90.8,2.4,3.4,1.0,1.8,0.1,93.2,1.9,3.3,0.8,0.7,0.0,"$66,614",286,"$66,986",363,25.1 ,337 ,25.3 ,393 ,69.6,18 ,148,"395,434","117,057","270,236","370,924","102,580","244,940","299,403","86,396","213,007",0,0,0,,,,,,,"753,677","676,214","21,163","29,684","8,898","14,224",928,"592,293","538,096","14,321","20,045","6,073","10,541",594,"587,430","547,370","10,895","19,670","4,565","4,090",215,"529,535","132,817","492,012","124,364"
Illinois' 16th,IL-16,Republican,Darin,LaHood,(DAIR-in luh-HOOD),/'dɛ.ɹɪn lə.'hʊd/,2015 Special,1968,Man,Multiple: White/Middle Eastern - Lebanese,Christian - Roman Catholic,No,Multiple: Re-elected (Darin LaHood) and Retired (Adam Kinzinger),38.1,59.6,34.3,58.0,33.7,66.3,0,0,,,,,,87.3,5.3,2.7,2.5,1.8,0.1,90.8,4.3,2.8,1.5,0.4,0.0,"$78,393",180,"$78,963",228,30.8 ,242 ,30.6 ,313 ,63.0,52 ,149,"400,519","152,633","238,789","367,027","125,721","213,029","297,946","100,325","197,621",0,0,0,,,,,,,"753,677","639,296","49,584","25,596","21,798","14,715",764,"582,046","507,844","30,726","15,473","14,673","10,444",506,"564,445","512,485","24,340","16,030","8,315","2,510",215,"522,283","160,896","464,625","142,193"
Illinois' 17th,IL-17,Democratic,Eric,Sorensen,(AIR-ik SAWR-en-suhn),/'ɛ.ɹik 'sɔ.ɹɛn.sən/,2022,1976,Man,White,Christian - Protestant,Gay,Open Seat - Retired (Cheri Bustos),52.7,44.9,49.6,42.9,51.9,48.0,0,0,,,,,,72.0,9.4,14.2,2.6,2.0,0.1,77.6,7.2,13.0,1.6,0.6,0.0,"$56,834",390,"$61,756",403,24.0 ,357 ,26.2 ,377 ,57.3,82 ,150,"331,627","174,821","148,985","319,863","158,506","137,320","233,420","121,186","111,931",0,0,303,,,,,,,"753,676","508,830","84,143","127,870","20,719","16,061","1,066","589,767","424,419","55,419","83,583","15,101","11,919",772,"566,385","439,325","40,750","73,515","8,875","3,180",130,"502,460","120,652","382,416","100,046"
Indiana's 1st,IN-01,Democratic,Frank,Mrvan,(FREYNK mur-VAN),/fɹeɪŋk mɜɹ.'væn/,2020,1969,Man,White,Christian - Roman Catholic,No,Re-elected,53.4,45.0,53.0,41.2,52.8,47.2,0,0,,,,,,63.2,14.3,18.9,1.8,2.1,0.1,66.9,13.3,18.0,1.2,0.6,0.0,"$69,580",253,"$76,669",249,25.4 ,333 ,28.3 ,344 ,47.9,160 ,151,"340,700","181,832","153,364","313,114","165,956","128,967","213,207","112,656","100,542",0,0,9,,,,,,,"753,947","447,626","124,734","156,823","14,905","16,961",810,"580,667","367,001","83,050","109,975","10,674","12,242",537,"565,330","377,930","75,065","101,620","7,060","3,415",105,"517,353","131,268","342,072","96,963"
Indiana's 2nd,IN-02,Republican,Rudy,Yakym,(ROO-dee YAH-kuhm),/'ɹu.ɾi 'jɑ.kəm/,2022,1984,Man,White,Christian - Protestant - Baptist,No,Vacant - Died (Jackie Walorski),37.8,60.4,34.3,59.4,32.4,64.6,0,0,,,,,,79.3,9.2,7.2,1.9,2.2,0.1,84.7,6.2,6.8,1.3,0.8,0.0,"$62,487",334,"$66,989",362,24.1 ,356 ,24.8 ,396 ,63.7,50 ,152,"311,424","117,687","187,968","290,652","99,794","172,718","194,373","62,955","125,537",0,0,"5,881",,,,,,,"753,947","572,604","85,184","64,160","15,331","17,181",980,"571,029","453,103","52,706","40,851","11,036","12,294",619,"545,750","462,095","33,905","37,370","6,920","4,405",250,"495,150","119,204","409,417","101,475"
Indiana's 3rd,IN-03,Republican,Jim,Banks,(JIM BEYNKS),/dʒɪm beɪŋks/,2016,1979,Man,White,Christian - Protestant,No,Re-elected,34.0,63.9,29.9,64.0,30.1,65.3,0,0,,,,,,83.1,5.5,6.6,2.7,1.9,0.1,87.1,3.9,6.4,1.7,0.7,0.1,"$65,522",302,"$68,318",341,24.6 ,345 ,25.6 ,385 ,64.8,45 ,153,"328,584","111,650","209,890","293,561","87,898","187,915","201,542","60,577","131,579",0,0,"9,386",,,,,,,"753,947","606,817","50,151","57,946","24,118","14,614",926,"563,485","468,328","30,778","37,126","15,490","10,439",620,"547,660","477,125","21,305","35,050","9,470","3,685",275,"496,764","122,266","423,663","108,625"
Indiana's 4th,IN-04,Republican,Jim,Baird,(JIM BAIRD),/dʒɪm bɜɹd/,2018,1945,Man,White,Christian - Protestant,No,Re-elected,34.3,63.4,29.6,63.6,31.8,68.2,0,0,,,,,,83.4,5.9,4.0,4.3,1.9,0.6,89.3,3.8,4.0,2.3,0.6,0.0,"$72,677",221,"$74,926",265,30.8 ,244 ,30.6 ,312 ,61.9,54 ,154,"345,309","118,417","219,029","303,286","89,720","192,817","197,698","62,834","134,864",0,0,0,,,,,,,"753,947","613,531","53,712","37,411","31,463","15,168","3,753","577,297","481,532","34,013","23,347","24,655","11,043","3,374","556,475","496,700","20,945","22,100","12,555","3,340",75,"489,464","150,558","424,243","129,995"
Indiana's 5th,IN-05,Republican,Victoria,Spartz,(vik-TAWR-ee-uh SPAHRTS),/vɪk.'tɔ.ɹi.ə spɑɹts/,2020,1978,Woman,White - Ukranian,Christian - Eastern Orthodox,No,Re-elected,41.0,57.0,34.9,58.3,38.9,61.1,0,0,,,,,,83.4,3.8,6.6,3.9,1.8,0.1,87.4,2.8,6.4,2.6,0.6,0.0,"$75,915",190,"$76,953",244,39.3 ,125 ,39.0 ,194 ,53.3,114 ,155,"369,022","151,397","210,212","325,741","113,722","189,864","240,009","93,434","146,575",0,0,0,,,,,,,"753,947","611,605","34,792","57,591","33,321","14,027",913,"574,610","479,447","21,767","38,139","22,495","10,346",557,"564,020","492,995","15,940","36,215","14,600","3,525",165,"503,381","197,613","431,124","168,305"
Indiana's 6th,IN-06,Republican,Greg,Pence,(GREG PENS),/gɹɛg pɛns/,2018,1956,Man,White,Christian - Roman Catholic,No,Re-elected,33.0,64.9,28.2,65.3,32.5,67.5,0,0,,,,,,84.0,4.2,4.5,5.1,1.9,0.1,89.4,2.7,4.6,2.5,0.7,0.0,"$69,426",256,"$70,636",313,27.4 ,299 ,26.7 ,370 ,65.5,40 ,156,"331,748","109,391","215,307","297,501","83,828","194,382","193,524","62,838","130,686",0,0,0,,,,,,,"753,949","610,472","39,669","42,050","45,066","14,715","1,058","570,671","479,310","24,119","25,458","28,890","10,908",707,"544,950","487,075","14,740","25,005","13,540","3,750",85,"507,510","139,272","435,911","116,532"
Indiana's 7th,IN-07,Democratic,André,Carson,(AHN-drey KAHR-suhn),/'ɑn.dɹeɪ 'kɑɹ.sən/,2008 Special,1974,Man,Black,Muslim,No,Re-elected,70.3,27.9,64.7,29.0,67.0,30.6,0,0,,,,,,50.4,12.2,33.4,2.7,2.0,0.1,57.1,5.7,34.3,1.9,0.7,0.0,"$59,595",371,"$75,591",259,34.6 ,175 ,44.6 ,133 ,31.7,294 ,157,"303,734","213,498","84,813","289,346","187,181","84,036","175,180","117,309","53,631",0,0,"4,240",,,,,,,"753,949","341,540","111,802","272,334","20,214","15,795","1,131","578,117","291,454","70,431","192,839","15,824","11,668",762,"526,405","300,635","30,245","180,440","10,235","3,595",150,"496,066","171,681","268,825","119,826"
Indiana's 8th,IN-08,Republican,Larry,Bucshon,(LAIR-ee boo-SHAHN),/'lɛ.ɹi bu.'ʃɑn/,2010,1962,Man,White,Christian - Protestant - Lutheran,No,Re-elected,32.7,65.5,30.2,64.3,31.5,65.7,0,0,,,,,,89.2,2.5,4.6,1.3,1.8,0.2,92.2,1.6,4.5,0.9,0.7,0.1,"$61,601",349,"$63,183",391,22.3 ,390 ,22.5 ,419 ,71.4,9 ,158,"343,948","112,346","225,275","320,574","96,921","206,009","216,040","68,109","141,995",0,0,"5,936",,,,,,,"753,947","661,160","23,122","40,583","10,946","14,313","1,439","585,235","522,022","14,371","27,167","7,756","10,760",878,"577,605","532,580","9,095","26,210","5,155","3,985",395,"515,747","115,218","470,171","105,835"
Indiana's 9th,IN-09,Republican,Erin,Houchin,(AIR-in HOU-chin),/'ɛ.ɹɪn 'haʊ.tʃɪn/,2022,1976,Woman,White,Christian - Protestant,No,Open Seat - Retired (Trey Hollingsworth),35.4,62.7,33.1,61.4,33.6,63.6,0,0,,,,,,88.5,3.3,3.4,2.3,2.1,0.1,92.4,2.0,3.3,1.3,0.8,0.0,"$67,283",281,"$68,987",335,26.0 ,325 ,25.5 ,388 ,68.8,24 ,159,"356,696","126,197","223,661","326,753","108,135","200,532","225,276","75,700","143,166",0,0,"6,410",,,,,,,"753,948","655,649","31,025","31,119","17,285","16,669","1,005","591,468","523,453","19,694","20,178","13,399","12,524",637,"581,425","537,270","11,555","19,080","7,845","4,775",145,"510,656","132,568","465,724","118,752"
Kansas' 1st,KS-01,Republican,Tracey,Mann,(TREY-see MAN),/'tɹeɪ.si mæn/,2020,1976,Man,White,Christian - Protestant - Pietist,No,Re-elected,34.1,63.7,29.6,63.5,32.3,67.7,0,0,,,,,,77.7,13.1,3.7,2.5,3.2,0.2,83.5,9.5,3.3,1.6,1.8,0.0,"$60,646",360,"$60,678",409,29.4 ,266 ,31.9 ,296 ,56.9,86 ,164,"323,819","110,422","206,364","287,274","84,992","182,277","238,425","77,092","161,333",0,0,0,,,,,,,"734,470","547,576","115,120","30,857","18,884","25,605","1,860","565,616","439,359","73,822","20,746","14,112","18,188","1,205","538,465","449,835","51,420","17,590","8,845","9,520",200,"465,473","136,784","375,764","119,789"
Kansas' 2nd,KS-02,Republican,Jake,LaTurner,(JEYK luh-TER-ner),/dʒeɪk lə.'tɜɹ.nəɹ/,2020,1988,Man,White,Christian - Roman Catholic,No,Re-elected,40.7,57.0,36.9,55.6,42.4,57.6,0,0,,,,,,73.3,10.6,9.9,2.2,4.1,0.3,78.3,7.6,9.8,1.7,2.4,0.1,"$60,983",358,"$63,968",380,26.9 ,309 ,29.7 ,325 ,55.0,100 ,165,"321,754","130,954","183,352","284,768","105,021","158,414","233,358","98,852","134,506",0,0,0,,,,,,,"734,470","512,507","94,762","80,284","18,776","33,136","2,670","554,813","406,652","59,029","54,674","12,369","22,956","1,679","530,965","415,505","40,290","52,140","9,130","12,710",480,"480,451","129,406","366,395","108,842"
Kansas' 3rd,KS-03,Democratic,Sharice,Davids,(shuh-REES DEY-vidz),/ʃə.'ɹis 'deɪ.vɪdz/,2018,1980,Woman,Native American - Ho-Chunk,Unknown/Refused to Say,Lesbian,Re-elected,51.2,46.7,42.9,48.2,54.9,42.8,0,0,,,,,,77.9,8.5,5.4,5.4,2.5,0.1,84.5,5.8,4.7,3.8,0.9,0.0,"$91,626",88,"$95,184",118,51.3 ,32 ,53.6 ,61 ,39.2,243 ,166,"401,921","205,621","187,731","340,825","146,155","164,205","301,294","165,527","128,839",0,0,"6,928",,,,,,,"734,470","551,145","73,610","46,248","43,008","19,559","1,339","556,362","433,217","47,341","30,004","30,016","13,934",823,"530,440","448,315","30,705","25,195","20,140","5,035",100,"498,342","255,518","405,387","217,158"
Kansas' 4th,KS-04,Republican,Ron,Estes,(RAHN ES-tuhs),/ɹɑn 'ɛs.təs/,2017 Special,1956,Man,White,Christian - Protestant - Lutheran,No,Re-elected,38.0,59.7,32.3,59.2,36.7,63.3,0,0,,,,,,73.3,11.1,7.7,4.1,4.1,0.2,78.9,8.5,7.1,3.2,2.0,0.0,"$65,593",301,"$69,230",328,30.4 ,249 ,33.2 ,274 ,52.7,117 ,167,"324,810","123,326","193,958","280,743","90,814","166,079","228,740","83,851","144,889",0,0,0,,,,,,,"734,470","511,347","99,111","65,886","31,527","33,005","2,021","552,525","404,754","61,394","42,749","22,437","22,819","1,261","526,250","414,990","44,945","37,625","16,750","10,440",200,"482,254","146,557","370,236","122,812"
Kentucky's 1st,KY-01,Republican,James,Comer,(JEYMZ KOH-mer),/dʒeɪmz 'koʊ.məɹ/,2016,1972,Man,White,Christian - Protestant - Baptist,No,Re-elected,27.9,70.6,25.9,70.2,25.1,74.9,0,0,,,,,,85.8,3.0,7.9,1.0,2.0,0.1,88.6,2.1,7.8,0.6,0.8,0.1,"$54,615",404,"$57,427",422,20.3 ,414 ,20.7 ,424 ,70.2,14 ,168,"351,824","98,100","248,460","325,717","84,440","228,580","245,858","61,701","184,157",0,0,0,,,,,,,"750,973","629,590","28,616","67,417","8,302","15,603","1,223","581,614","499,121","17,549","45,739","5,749","11,794",738,"575,670","509,785","11,880","44,780","3,305","4,730",440,"510,443","103,523","451,860","93,663"
