district_id,cvap,vintage_end_year,is_post_redistricting
MD-08,508185,2017,False
MA-01,559205,2017,False
MA-02,554205,2017,False
MA-03,532105,2017,False
MA-04,546995,2017,False
MA-05,523045,2017,False
MA-06,564035,2017,False
MA-07,523150,2017,False
MA-08,561655,2017,False
MA-09,567270,2017,False
MI-01,561890,2017,False
MI-02,534365,2017,False
MI-03,532145,2017,False
MI-04,547375,2017,False
MI-05,524195,2017,False
MI-06,534135,2017,False
MI-07,539225,2017,False
MI-08,541285,2017,False
MI-09,542010,2017,False
MI-10,541965,2017,False
MI-11,521690,2017,False
MI-12,522230,2017,False
MI-13,489435,2017,False
MI-14,503340,2017,False
MN-01,493245,2017,False
MN-02,495570,2017,False
MN-03,502545,2017,False
MN-04,496990,2017,False
MN-05,504900,2017,False
MN-06,503835,2017,False
MN-07,496330,2017,False
MN-08,517305,2017,False
MS-01,564330,2017,False
MS-02,529075,2017,False
MS-03,559380,2017,False
MS-04,568020,2017,False
MO-01,550065,2017,False
MO-02,575495,2017,False
MO-03,583735,2017,False
MO-04,578675,2017,False
MO-05,561030,2017,False
MO-06,571560,2017,False
MO-07,578240,2017,False
MO-08,568440,2017,False
MT-00,794085,2017,False
NE-01,459080,2017,False
NE-02,448155,2017,False
NE-03,442860,2017,False
NV-01,409635,2017,False
NV-02,502295,2017,False
NV-03,546945,2017,False
NV-04,484830,2017,False
NH-01,521280,2017,False
NH-02,513405,2017,False
NJ-01,538740,2017,False
NJ-02,534325,2017,False
NJ-03,565185,2017,False
NJ-04,523830,2017,False
NJ-05,534130,2017,False
NJ-06,489170,2017,False
NJ-07,523290,2017,False
NJ-08,429200,2017,False
NJ-09,474950,2017,False
NJ-10,491050,2017,False
NJ-11,541825,2017,False
NJ-12,496630,2017,False
NM-01,497925,2017,False
NM-02,471805,2017,False
NM-03,501940,2017,False
NY-01,528285,2017,False
NY-02,504950,2017,False
NY-03,525580,2017,False
NY-04,501895,2017,False
NY-05,500670,2017,False
NY-06,455980,2017,False
NY-07,442260,2017,False
NY-08,522090,2017,False
NY-09,477975,2017,False
NY-10,489915,2017,False
NY-11,500475,2017,False
NY-12,551610,2017,False
NY-13,484885,2017,False
NY-14,405000,2017,False
NY-15,403260,2017,False
NY-16,495645,2017,False
NY-17,479605,2017,False
NY-18,520735,2017,False
NY-19,553980,2017,False
NY-20,557435,2017,False
NY-21,554655,2017,False
NY-22,544800,2017,False
NY-23,546980,2017,False
NY-24,543010,2017,False
NY-25,543905,2017,False
NY-26,543735,2017,False
NY-27,562605,2017,False
NC-01,552095,2017,False
NC-02,563045,2017,False
NC-03,570810,2017,False
NC-04,571945,2017,False
NC-05,559110,2017,False
NC-06,551340,2017,False
NC-07,578820,2017,False
NC-08,560090,2017,False
NC-09,546945,2017,False
NC-10,568645,2017,False
NC-11,581440,2017,False
NC-12,548110,2017,False
NC-13,557375,2017,False
ND-00,560530,2017,False
OH-01,533940,2017,False
OH-02,550730,2017,False
OH-03,536880,2017,False
OH-04,543850,2017,False
OH-05,550385,2017,False
OH-06,552020,2017,False
OH-07,548730,2017,False
OH-08,540430,2017,False
OH-09,538410,2017,False
OH-10,547340,2017,False
OH-11,526275,2017,False
OH-12,562655,2017,False
OH-13,554125,2017,False
OH-14,548460,2017,False
OH-15,571165,2017,False
OH-16,556235,2017,False
OK-01,552885,2017,False
OK-02,561680,2017,False
OK-03,561785,2017,False
OK-04,578695,2017,False
OK-05,547535,2017,False
OR-01,569845,2017,False
OR-02,590760,2017,False
OR-03,601710,2017,False
OR-04,611210,2017,False
OR-05,575240,2017,False
PA-01,509450,2017,False
PA-02,541640,2017,False
PA-03,542960,2017,False
