CD,County,Biden,Trump,Total,Biden%,Trump%
,DuPage (pt.),"64,533","48,115","114,863",56.18%,41.89%
,Kane (pt.),"17,458","8,146","26,176",66.69%,31.12%
8 Total,,"171,850","113,157","290,456",59.17%,38.96%
9,Cook - Chicago (pt.),"98,038","23,902","124,030",79.04%,19.27%
,Cook - Suburban (pt.),"171,535","80,189","255,912",67.03%,31.33%
9 Total,,"269,573","104,091","379,942",70.95%,27.40%
10,Cook - Suburban (pt.),"50,262","28,759","80,053",62.79%,35.92%
,Lake (pt.),"157,118","80,975","242,738",64.73%,33.36%
10 Total,,"207,380","109,734","322,791",64.25%,34.00%
11,Cook - Suburban (pt.),"1,257","1,471","2,767",45.43%,53.16%
,DuPage (pt.),"69,415","41,126","112,826",61.52%,36.45%
,Kane (pt.),"26,628","10,806","38,278",69.57%,28.23%
,Kendall (pt.),"11,196","7,160","18,756",59.69%,38.17%
,Will (pt.),"87,060","53,677","143,373",60.72%,37.44%
11 Total,,"195,556","114,240","316,000",61.88%,36.15%
12,Alexander,"1,114","1,486","2,618",42.55%,56.76%
,Franklin,"4,760","13,622","18,626",25.56%,73.13%
